Cats,Dogs,Guinea Pigs,Hamsters,MarineMammals,NonhumanPrimates,Other FarmAnimals,Pig,Rabbits,Sheep,Total,State,Unnamed: 12,Year,date_year
0.0,388,187,981,,272,0,463,733,28,3839,CT,,2012,2012-01-01
7.0,12,272,490,,229,0,677,154,53,3694,DC,,2012,2012-01-01
0.0,0,10,0,,0,408,10,8702,26,9184,DE,,2012,2012-01-01
517.0,1135,283,360,,495,228,1518,454,215,7757,FL,,2012,2012-01-01
663.0,2567,1309,10220,,"2,873",618,1097,3161,105,29312,GA,,2012,2012-01-01
13.0,51,0,0,,0,0,101,8,0,179,HI,,2012,2012-01-01
564.0,1119,1487,18513,,23,713,1312,2754,605,31219,IA,,2012,2012-01-01
46.0,119,36,0,,0,83,2,49,72,574,ID,,2012,2012-01-01
1110.0,3538,2124,2088,,619,631,1548,2725,595,20438,IL,,2012,2012-01-01
530.0,1129,119,974,,119,106,759,803,194,8352,IN,,2012,2012-01-01
675.0,1687,1219,92,,199,312,362,188,64,6081,KS,,2012,2012-01-01
98.0,302,31,174,,107,27,437,143,31,1741,KY,,2012,2012-01-01
103.0,447,7,72,,"2,869",225,38,476,0,5118,LA,,2012,2012-01-01
57.0,1319,20845,6562,,"6,013",1058,6950,16657,512,68570,MA,,2012,2012-01-01
6.0,934,13421,4051,,"7,757",559,2032,3887,330,56025,MD,,2012,2012-01-01
376.0,52,0,0,,0,102,15,123,4,1871,ME,,2012,2012-01-01
358.0,4730,17829,1185,,"3,673",421,2467,6329,790,42277,MI,,2012,2012-01-01
3495.0,4087,28058,498,,203,1446,3259,8929,1262,54570,MN,,2012,2012-01-01
1862.0,2882,7970,28243,,164,114,1821,4743,138,49079,MO,,2012,2012-01-01
20.0,150,301,16,,63,8,219,511,25,1366,MS,,2012,2012-01-01
0.0,0,38,271,,4,55,0,32,31,546,MT,,2012,2012-01-01
1074.0,2141,9366,920,,"1,718",4507,1842,2619,197,26360,NC,,2012,2012-01-01
139.0,94,1,3,,0,201,27,0,165,737,ND,,2012,2012-01-01
103.0,118,17,1272,,89,280,178,175,10,4534,NE,,2012,2012-01-01
0.0,2,0,902,,6,0,96,1,0,1666,NH,,2012,2012-01-01
330.0,4140,13965,11274,,"4,884",0,792,8964,21,44873,NJ,,2012,2012-01-01
40.0,419,164,43,,773,0,48,398,0,2323,NM,,2012,2012-01-01
26.0,465,61,0,,0,356,96,30,30,2646,NV,,2012,2012-01-01
1778.0,3569,11224,28396,,"2,024",490,1298,7021,368,64980,NY,,2012,2012-01-01
2178.0,6169,31057,1946,,"1,990",263,3025,14049,194,64467,OH,,2012,2012-01-01
171.0,745,662,8,,95,558,25,507,57,4458,OK,,2012,2012-01-01
241.0,648,595,25,,"3,354",1366,440,277,445,8942,OR,,2012,2012-01-01
1739.0,3393,3319,953,,"1,716",1498,3747,21074,665,40778,PA,,2012,2012-01-01
0.0,0,0,70,,"4,135",0,26,23,0,4284,PR,,2012,2012-01-01
0.0,0,0,348,,40,0,91,652,47,1347,RI,,2012,2012-01-01
241.0,305,310,72,,144,73,323,240,4,4185,SC,,2012,2012-01-01
13.0,27,6,24,,5,157,0,5,79,924,SD,,2012,2012-01-01
128.0,574,156,660,,285,165,1779,522,21,6449,TN,,2012,2012-01-01
416.0,1748,12003,3586,,"3,492",5406,3370,15298,561,56746,TX,,2012,2012-01-01
515.0,781,1995,2397,,1,192,193,1566,394,9117,UT,,2012,2012-01-01
54.0,234,136,339,,101,271,4175,480,86,7711,VA,,2012,2012-01-01
9.0,9,176,0,,0,5,34,4,1572,2004,VT,,2012,2012-01-01
429.0,884,3809,96,,"2,079",358,1779,1080,11,25710,WA,,2012,2012-01-01
334.0,5521,3553,3650,,"7,350",398,777,15749,210,42107,WI,,2012,2012-01-01
56.0,40,9,8,,0,0,0,112,73,308,WV,,2012,2012-01-01
30.0,42,4,2,,0,35,0,7,69,311,WY,,2012,2012-01-01
0.0,0,0,0,,0,0,0,0,0,386,AK,,2013,2013-01-01
147.0,1274,220,17,,215,427,480,943,44,5758,AL,,2013,2013-01-01
102.0,628,162,60,,111,114,556,1416,0,3167,AR,,2013,2013-01-01
480.0,1641,222,47,,45,262,444,322,142,10037,AZ,,2013,2013-01-01
2005.0,4350,12460,4420,,"3,579",12597,5396,33368,1460,102752,CA,,2013,2013-01-01
362.0,681,2398,1294,,0,323,900,603,461,8402,CO,,2013,2013-01-01
0.0,291,122,1010,,308,0,436,256,3,3295,CT,,2013,2013-01-01
4.0,35,584,517,,121,11,447,91,34,2356,DC,,2013,2013-01-01
0.0,0,38,0,,0,725,0,10283,53,11444,DE,,2013,2013-01-01
503.0,1042,206,219,,568,102,2235,328,243,9081,FL,,2013,2013-01-01
791.0,1758,1513,12453,,"2,909",432,992,4114,31,31329,GA,,2013,2013-01-01
42.0,87,0,0,,0,0,104,0,0,239,HI,,2013,2013-01-01
699.0,1097,727,17151,,19,202,1392,3095,344,25264,IA,,2013,2013-01-01
63.0,87,12,0,,0,80,2,48,101,777,ID,,2013,2013-01-01
1101.0,3207,2724,2357,,717,666,1445,2839,383,19111,IL,,2013,2013-01-01
351.0,951,75,753,,116,86,1022,838,158,6850,IN,,2013,2013-01-01
854.0,2089,1033,66,,162,268,322,128,59,6456,KS,,2013,2013-01-01
193.0,380,22,89,,79,79,246,178,23,1807,KY,,2013,2013-01-01
150.0,545,6,40,,"2,947",266,45,498,8,4566,LA,,2013,2013-01-01
67.0,1711,21242,5353,,"7,395",293,6093,15496,415,76179,MA,,2013,2013-01-01
98.0,962,13796,4597,,"8,953",134,1628,3538,270,40361,MD,,2013,2013-01-01
246.0,83,0,0,,0,448,15,131,5,1395,ME,,2013,2013-01-01
436.0,4335,16410,910,,"3,192",286,1913,6518,612,38935,MI,,2013,2013-01-01
3201.0,4072,27296,397,,256,1362,3582,7561,1076,50145,MN,,2013,2013-01-01
2018.0,2507,10496,25727,,145,95,1977,3544,107,48647,MO,,2013,2013-01-01
19.0,81,297,17,,51,58,356,395,4,1446,MS,,2013,2013-01-01
0.0,0,0,173,,7,35,0,6,5,230,MT,,2013,2013-01-01
1112.0,2163,8987,813,,"1,410",5070,1907,3017,233,27420,NC,,2013,2013-01-01
211.0,211,5,5,,0,0,28,4,328,1044,ND,,2013,2013-01-01
76.0,88,8,939,,100,61,229,176,17,3197,NE,,2013,2013-01-01
0.0,8,0,647,,6,0,40,15,3,1546,NH,,2013,2013-01-01
526.0,5037,14357,30135,,"3,629",0,1302,8239,11,64934,NJ,,2013,2013-01-01
31.0,354,304,31,,550,0,70,71,0,1678,NM,,2013,2013-01-01
174.0,478,14,96,,0,303,137,11,1,3449,NV,,2013,2013-01-01
1459.0,3475,6487,12322,,"1,994",600,1409,2915,319,34715,NY,,2013,2013-01-01
1802.0,5356,31382,1094,,"2,044",245,3018,11519,222,59127,OH,,2013,2013-01-01
159.0,1114,628,13,,117,682,91,526,99,4988,OK,,2013,2013-01-01
461.0,193,43,6,,"3,334",44,348,265,247,7556,OR,,2013,2013-01-01
1701.0,3309,2512,1522,,"1,611",1257,3906,16616,698,37788,PA,,2013,2013-01-01
0.0,0,0,0,,"4,422",0,27,10,0,4459,PR,,2013,2013-01-01
37.0,86,4,219,,38,13,74,440,62,1191,RI,,2013,2013-01-01
203.0,309,402,139,,246,50,348,162,7,4166,SC,,2013,2013-01-01
12.0,8,6,33,,5,120,58,44,25,780,SD,,2013,2013-01-01
340.0,614,165,466,,255,104,1452,438,0,7139,TN,,2013,2013-01-01
517.0,1505,5518,3387,,"3,166",3657,3386,11487,655,42677,TX,,2013,2013-01-01
472.0,827,1271,2468,,10,318,237,1246,387,7869,UT,,2013,2013-01-01
79.0,256,490,290,,79,143,3364,421,131,7126,VA,,2013,2013-01-01
8.0,33,134,0,,0,2,60,4,1610,2065,VT,,2013,2013-01-01
461.0,1155,3214,238,,"2,504",458,1192,1081,31,14455,WA,,2013,2013-01-01
364.0,7196,2881,4311,,"6,692",433,1010,14265,146,40520,WI,,2013,2013-01-01
59.0,47,4,6,,0,0,2,129,136,383,WV,,2013,2013-01-01
25.0,56,4,3,,0,147,6,7,126,474,WY,,2013,2013-01-01
176.0,1468,177,271,,236,503,447,1076,235,6998,AL,,2014,2014-01-01
184.0,657,95,47,,127,131,963,1085,0,3302,AR,,2014,2014-01-01
729.0,2156,102,72,,41,238,395,335,201,7986,AZ,,2014,2014-01-01
1525.0,3307,6994,3521,,"3,767",8342,6350,24659,1319,84210,CA,,2014,2014-01-01
430.0,804,2908,1012,,1,114,724,885,391,8730,CO,,2014,2014-01-01
0.0,454,205,1094,,287,0,265,111,0,3929,CT,,2014,2014-01-01
46.0,6,715,415,,161,0,316,268,28,2274,DC,,2014,2014-01-01
