Cats,Dogs,Guinea Pigs,Hamsters,MarineMammals,NonhumanPrimates,Other FarmAnimals,Pig,Rabbits,Sheep,Total,State,Year,date_year
0,114,2632,5646,,14,0,8,43,0,8576,NJ,2014,2014-01-01
0,0,56,0,,431,0,0,5,0,540,NM,2014,2014-01-01
0,0,0,0,,0,0,0,0,0,0,NV,2014,2014-01-01
0,21,1054,3,,11,0,0,10,0,1115,NY,2014,2014-01-01
0,16,2100,41,,270,0,41,118,0,2622,OH,2014,2014-01-01
0,0,0,0,,0,0,51,400,0,521,OK,2014,2014-01-01
0,0,0,0,,0,0,0,0,0,235,OR,2014,2014-01-01
0,6,132,9,,73,0,0,593,0,1191,PA,2014,2014-01-01
0,0,0,0,,0,0,0,0,0,0,PR,2014,2014-01-01
0,0,0,0,,0,0,0,0,0,0,RI,2014,2014-01-01
0,0,0,53,,0,0,0,0,0,303,SC,2014,2014-01-01
0,0,25,0,,0,0,11,0,0,188,SD,2014,2014-01-01
0,0,0,0,,0,0,29,94,0,604,TN,2014,2014-01-01
0,0,435,964,,143,0,27,45,0,1803,TX,2014,2014-01-01
0,0,48,802,,0,0,0,0,0,850,UT,2014,2014-01-01
0,0,0,0,,3,0,0,0,0,3,VA,2014,2014-01-01
0,0,20,0,,0,0,0,0,0,29,VT,2014,2014-01-01
0,0,0,0,,0,0,0,0,0,9,WA,2014,2014-01-01
0,0,2,0,,0,0,0,0,0,222,WI,2014,2014-01-01
0,0,0,0,,0,0,0,22,0,22,WV,2014,2014-01-01
0,0,0,18,,0,0,0,0,0,22,WY,2014,2014-01-01
0,0,12,0,,0,2,9,224,0,274,AL,2015,2015-01-01
0,0,0,0,,0,0,0,0,0,0,AR,2015,2015-01-01
0,0,0,0,,0,0,0,0,0,1,AZ,2015,2015-01-01
0,0,272,277,,18,1101,3,667,0,3512,CA,2015,2015-01-01
0,0,352,353,,0,5,0,0,28,986,CO,2015,2015-01-01
0,25,57,744,,35,0,0,0,0,876,CT,2015,2015-01-01
0,0,378,0,,0,0,0,0,0,378,DC,2015,2015-01-01
0,0,0,0,,0,0,0,0,0,0,DE,2015,2015-01-01
0,6,204,0,,0,22,33,0,0,348,FL,2015,2015-01-01
5,7,47,1900,,4,0,78,3245,0,5381,GA,2015,2015-01-01
0,0,0,42,,0,0,0,0,0,42,HI,2015,2015-01-01
0,0,82,5005,,0,0,0,0,14,5101,IA,2015,2015-01-01
0,0,0,0,,0,0,0,0,0,0,ID,2015,2015-01-01
7,0,0,9,,0,0,299,158,0,687,IL,2015,2015-01-01
0,0,38,1894,,0,0,0,0,0,1957,IN,2015,2015-01-01
2,0,0,0,,0,0,0,0,0,2,KS,2015,2015-01-01
